<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,Signal HA,Signal RSI,Signal SO,Signal Line Crossover,Centerline Crossover,Signal MACD
EURJPY,20010103,120100,109.28,109.28,109.24,109.25,4,-1,0,0,1,-1,0
EURJPY,20010103,120200,109.25,109.26,109.25,109.26,4,-1,0,0,1,-1,0
EURJPY,20010103,120300,109.27,109.27,109.23,109.24,4,0,0,0,-1,-1,-1
EURJPY,20010103,120400,109.23,109.23,109.2,109.22,4,-1,0,0,-1,-1,0
EURJPY,20010103,120500,109.22,109.22,109.22,109.22,4,-1,0,0,-1,-1,0
EURJPY,20010103,120600,109.22,109.22,109.19,109.19,4,-1,0,0,-1,-1,0
EURJPY,20010103,120700,109.18,109.2,109.18,109.2,4,-1,0,1,-1,-1,0
EURJPY,20010103,120800,109.19,109.21,109.19,109.19,4,0,0,0,-1,-1,0
EURJPY,20010103,120900,109.2,109.22,109.2,109.22,4,1,0,1,-1,-1,0
EURJPY,20010103,121000,109.21,109.21,109.2,109.2,4,0,0,0,-1,-1,0
EURJPY,20010103,121100,109.19,109.2,109.18,109.19,4,-1,0,0,-1,-1,0
EURJPY,20010103,121200,109.2,109.21,109.19,109.21,4,0,0,1,-1,-1,0
EURJPY,20010103,121300,109.2,109.2,109.19,109.2,4,0,0,0,-1,-1,0
EURJPY,20010103,121400,109.2,109.22,109.2,109.22,4,1,0,0,1,-1,1
EURJPY,20010103,121500,109.21,109.25,109.21,109.24,4,1,0,0,1,-1,0
EURJPY,20010103,121600,109.25,109.33,109.25,109.33,4,1,0,0,1,-1,0
EURJPY,20010103,121700,109.34,109.37,109.34,109.35,4,1,0,0,1,-1,0
EURJPY,20010103,121800,109.34,109.34,109.29,109.29,4,0,0,-1,1,1,0
EURJPY,20010103,121900,109.29,109.3,109.28,109.3,4,-1,0,0,1,1,0
EURJPY,20010103,122000,109.29,109.3,109.29,109.3,4,-1,0,0,1,1,0
EURJPY,20010103,122100,109.29,109.29,109.22,109.22,4,-1,0,0,1,1,0
EURJPY,20010103,122200,109.23,109.24,109.21,109.21,4,-1,0,0,1,-1,0
EURJPY,20010103,122300,109.22,109.23,109.19,109.2,4,-1,0,0,-1,-1,-1
EURJPY,20010103,122400,109.19,109.2,109.18,109.18,4,-1,0,0,-1,-1,0
EURJPY,20010103,122500,109.19,109.19,109.17,109.19,4,-1,0,1,-1,-1,0
EURJPY,20010103,122600,109.2,109.21,109.19,109.2,4,0,0,0,-1,-1,0
EURJPY,20010103,122700,109.19,109.2,109.19,109.19,4,0,0,0,-1,-1,0
EURJPY,20010103,122800,109.2,109.2,109.18,109.18,4,0,0,0,-1,-1,0
EURJPY,20010103,122900,109.19,109.19,109.13,109.13,4,-1,0,0,-1,-1,0
EURJPY,20010103,123000,109.12,109.14,109.1,109.11,4,-1,0,1,-1,-1,0
EURJPY,20010103,123100,109.12,109.12,109.11,109.12,4,-1,0,0,-1,-1,0
EURJPY,20010103,123200,109.11,109.11,109.08,109.11,4,-1,0,0,-1,-1,0
EURJPY,20010103,123300,109.12,109.17,109.12,109.16,4,0,0,0,-1,-1,0
EURJPY,20010103,123400,109.16,109.17,109.15,109.15,4,1,0,0,-1,-1,0
EURJPY,20010103,123500,109.14,109.14,109.1,109.11,4,0,0,0,-1,-1,0
EURJPY,20010103,123600,109.1,109.11,109.09,109.11,4,-1,0,0,-1,-1,0
EURJPY,20010103,123700,109.13,109.14,109.12,109.13,4,1,0,0,-1,-1,0
EURJPY,20010103,123800,109.12,109.12,109.09,109.09,4,-1,0,0,-1,-1,0
EURJPY,20010103,123900,109.08,109.08,109.07,109.07,4,-1,0,0,-1,-1,0
EURJPY,20010103,124000,109.08,109.1,109.08,109.1,4,0,0,1,-1,-1,0
EURJPY,20010103,124100,109.09,109.09,109.07,109.08,4,0,0,0,-1,-1,0
EURJPY,20010103,124200,109.09,109.09,109.07,109.08,4,0,0,0,-1,-1,0
EURJPY,20010103,124300,109.09,109.13,109.09,109.11,4,0,0,1,-1,-1,0
EURJPY,20010103,124400,109.1,109.11,109.09,109.09,4,0,0,0,1,-1,1
EURJPY,20010103,124500,109.1,109.1,109.09,109.09,4,0,0,0,1,-1,0
EURJPY,20010103,124600,109.1,109.1,109.07,109.08,4,0,0,0,1,-1,0
EURJPY,20010103,124700,109.09,109.09,109.07,109.07,4,-1,0,0,1,-1,0
EURJPY,20010103,124800,109.06,109.07,109.03,109.03,4,-1,0,0,-1,-1,-1
EURJPY,20010103,124900,109.04,109.04,109.02,109.02,4,-1,0,0,-1,-1,0
