<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,26 ema,12 ema,MACD,Signal Line,Signal Line Crossover,Centerline Crossover,Signal MACD
USDJPY,20010103,3700,114.44,114.44,114.44,114.44,4,114.42228260228565,114.43056526381402,0.008282661528369317,0.0048163123437934136,1,1,0
USDJPY,20010103,3800,114.44,114.44,114.44,114.44,4,114.42359500211634,114.43201676168879,0.008421759572442511,0.005537401789523233,1,1,0
USDJPY,20010103,3900,114.43,114.43,114.42,114.42,4,114.42332870566328,114.43016802912128,0.006839323457995761,0.005797786123217739,1,1,0
USDJPY,20010103,4000,114.42,114.42,114.42,114.42,4,114.42308213487341,114.42860371694877,0.005521582075360243,0.00574254531364624,-1,1,-1
USDJPY,20010103,4100,114.42,114.42,114.42,114.42,4,114.4228538285865,114.42728006818743,0.004426239600931581,0.005479284171103309,-1,1,0
USDJPY,20010103,4200,114.42,114.44,114.42,114.44,4,114.42412391535787,114.42923698077398,0.00511306541611134,0.005406040420104915,-1,1,0
USDJPY,20010103,4300,114.44,114.44,114.44,114.44,4,114.42529992162765,114.43089282988568,0.005592908258023499,0.005443413987688632,1,1,1
USDJPY,20010103,4400,114.44,114.44,114.44,114.44,4,114.4263888163219,114.43229393298019,0.005905116658283305,0.005535754521807566,1,1,0
USDJPY,20010103,4500,114.44,114.44,114.44,114.44,4,114.42739705214991,114.43347948175246,0.006082429602543016,0.005645089537954656,1,1,0
USDJPY,20010103,4600,114.44,114.44,114.44,114.44,4,114.42833060384251,114.43448263840592,0.006152034563413622,0.00574647854304645,1,1,0
USDJPY,20010103,4700,114.44,114.44,114.44,114.44,4,114.42919500355788,114.43533146326655,0.006136459708670827,0.005824474776171326,1,1,0
USDJPY,20010103,4800,114.44,114.44,114.44,114.44,4,114.4299953736647,114.43604969968708,0.006054326022379541,0.00587044502541297,1,1,0
USDJPY,20010103,4900,114.45,114.45,114.45,114.45,4,114.43147719783768,114.4381958997352,0.006718701897526103,0.006040096399835597,1,1,0
USDJPY,20010103,5000,114.45,114.45,114.45,114.45,4,114.4328492572571,114.44001191516057,0.0071626579034642646,0.006264608700561331,1,1,0
USDJPY,20010103,5100,114.45,114.45,114.45,114.45,4,114.43411968264546,114.4415485435974,0.007428860951947058,0.006497459150838477,1,1,0
USDJPY,20010103,5200,114.46,114.47,114.46,114.47,4,114.43677748393097,114.44592569073627,0.009148206805306813,0.007027608681732145,1,1,0
USDJPY,20010103,5300,114.47,114.47,114.46,114.47,4,114.4392384110472,114.449629430623,0.010391019575806126,0.007700290860546941,1,1,0
USDJPY,20010103,5400,114.47,114.47,114.47,114.47,4,114.44151704726593,114.45276336437331,0.011246317107378445,0.008409496109913242,1,1,0
USDJPY,20010103,5500,114.47,114.47,114.47,114.47,4,114.4436268956166,114.45541515446973,0.011788258853130174,0.00908524865855663,1,1,0
USDJPY,20010103,5600,114.47,114.47,114.43,114.44,4,114.44335823668204,114.45304359224362,0.00968535556157235,0.009205270039159774,1,1,0
USDJPY,20010103,5700,114.44,114.44,114.44,114.44,4,114.4431094784093,114.4510368857446,0.00792740733530195,0.008949697498388209,-1,1,-1
USDJPY,20010103,5800,114.44,114.44,114.44,114.44,4,114.44287914667528,114.44933890332236,0.00645975664707521,0.00845170932812561,-1,1,0
USDJPY,20010103,5900,114.44,114.44,114.44,114.44,4,114.44266587655119,114.44790214896507,0.005236272413881693,0.007808621945276827,-1,1,0
USDJPY,20010103,10100,114.44,114.44,114.44,114.44,4,114.44246840421407,114.44668643373967,0.004218029525603129,0.007090503461342088,-1,1,0
USDJPY,20010103,10200,114.44,114.44,114.44,114.44,4,114.44228555945747,114.44565775162587,0.003372192168399124,0.006346841202753496,-1,1,0
USDJPY,20010103,10300,114.44,114.44,114.44,114.44,4,114.44211625875693,114.44478732829882,0.002671069541889892,0.005611686870580775,-1,1,0
USDJPY,20010103,10400,114.44,114.44,114.44,114.44,4,114.441959498849,114.44405081625284,0.0020913174038383886,0.004907612977232298,-1,1,0
USDJPY,20010103,10500,114.44,114.44,114.44,114.44,4,114.44181435078612,114.4434276137524,0.0016132629662877207,0.004248742975043383,-1,1,0
USDJPY,20010103,10600,114.44,114.44,114.44,114.44,4,114.44167995443159,114.44290028855973,0.0012203341281349367,0.0036430612056616934,-1,1,0
USDJPY,20010103,10700,114.44,114.44,114.44,114.44,4,114.44155551336259,114.44245409031977,0.0008985769571836499,0.0030941643559660847,-1,1,0
USDJPY,20010103,10800,114.44,114.44,114.44,114.44,4,114.44144029015054,114.44207653796288,0.0006362478123378423,0.0026025810472404365,-1,1,0
USDJPY,20010103,10900,114.45,114.45,114.44,114.44,4,114.44133360199123,114.44175707058398,0.0004234685927428927,0.0021667585563409277,-1,1,0
USDJPY,20010103,11000,114.44,114.44,114.44,114.44,4,114.44123481665855,114.44148675203259,0.00025193537403822575,0.0017837939198803875,-1,1,0
USDJPY,20010103,11100,114.44,114.44,114.44,114.44,4,114.44114334875792,114.44125802095066,0.00011467219273697538,0.0014499695744517051,-1,1,0
USDJPY,20010103,11200,114.44,114.44,114.44,114.44,4,114.44105865625733,114.44106447926593,5.823008606853364e-06,0.001161140261282735,-1,1,0
USDJPY,20010103,11300,114.43,114.44,114.43,114.44,4,114.4409802372753,114.44090071322502,-7.952405027822351e-05,0.0009130073989705433,-1,-1,0
USDJPY,20010103,11400,114.44,114.44,114.44,114.44,4,114.44090762710675,114.44076214195962,-0.0001454851471294205,0.0007013088897505506,-1,-1,0
USDJPY,20010103,11500,114.44,114.44,114.44,114.44,4,114.44084039546921,114.44064488935045,-0.00019550611875729373,0.0005219458880489818,-1,-1,0
