<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,26 ema,12 ema,MACD,Signal Line,Signal Line Crossover,Centerline Crossover,Signal MACD
EURJPY,20010104,13000,106.07,106.07,106.04,106.04,4,106.03645073525271,106.06134372538222,0.024892990129501413,0.01882441244417552,1,1,0
EURJPY,20010104,13100,106.04,106.04,105.96,105.96,4,106.0307877178266,106.04575238301571,0.01496466518911177,0.018052462993162773,-1,1,-1
EURJPY,20010104,13200,105.96,105.96,105.94,105.94,4,106.02406270169129,106.02948278562867,0.005420083937380582,0.015525987182006335,-1,1,0
EURJPY,20010104,13300,105.94,105.95,105.94,105.95,4,106.01857657564008,106.01725466476272,-0.0013219108773654398,0.01215640757013198,-1,-1,0
EURJPY,20010104,13400,105.95,105.95,105.95,105.95,4,106.01349682929637,106.00690779326075,-0.006589036035620666,0.008407318848981453,-1,-1,0
EURJPY,20010104,13500,105.95,105.95,105.92,105.93,4,106.00731187897811,105.99507582506679,-0.012236053911323097,0.0042786442969205436,-1,-1,0
EURJPY,20010104,13600,105.93,105.94,105.93,105.93,4,106.00158507312788,105.98506415967191,-0.016520913455977393,0.00011873274634095635,-1,-1,0
EURJPY,20010104,13700,105.93,105.93,105.92,105.92,4,105.99554173437767,105.97505428895316,-0.0204874454245072,-0.004002502887828675,-1,-1,0
EURJPY,20010104,13800,105.92,105.94,105.92,105.94,4,105.99142753183116,105.96966132142191,-0.021766210409253972,-0.007555244392113735,-1,-1,0
EURJPY,20010104,13900,105.94,105.94,105.94,105.94,4,105.98761808502886,105.96509804120315,-0.022520043825707603,-0.010548204278832508,-1,-1,0
EURJPY,20010104,14000,105.94,105.96,105.94,105.96,4,105.98557230095265,105.96431372717188,-0.021258573780770007,-0.01269027817922001,-1,-1,0
EURJPY,20010104,14100,105.96,105.98,105.96,105.98,4,105.98515953791913,105.96672699991467,-0.018432538004461207,-0.01383873014426825,-1,-1,0
EURJPY,20010104,14200,105.98,105.99,105.98,105.99,4,105.98551809066586,105.97030746146626,-0.01521062919960059,-0.014113109955334718,-1,-1,0
EURJPY,20010104,14300,105.98,105.98,105.96,105.96,4,105.98362786172765,105.96872169816375,-0.014906163563907171,-0.01427172067704921,-1,-1,0
EURJPY,20010104,14400,105.96,105.96,105.96,105.96,4,105.98187764974783,105.96737989844624,-0.014497751301590256,-0.01431692680195742,-1,-1,0
EURJPY,20010104,14500,105.95,105.96,105.92,105.96,4,105.98025708309984,105.9662445294545,-0.014012553645343928,-0.014256052170634722,1,-1,1
EURJPY,20010104,14600,105.97,105.99,105.97,105.99,4,105.980978780648,105.96989921723073,-0.0110795634172689,-0.013620754419961557,1,-1,0
EURJPY,20010104,14700,105.98,105.98,105.93,105.93,4,105.97720257467407,105.96376087611831,-0.013441698555752168,-0.01358494324711968,1,-1,0
EURJPY,20010104,14800,105.93,105.93,105.93,105.93,4,105.97370608766117,105.95856689517704,-0.015139192484127761,-0.013895793094521297,-1,-1,-1
EURJPY,20010104,14900,105.93,105.93,105.93,105.93,4,105.97046859968627,105.95417198822673,-0.016296611459537758,-0.014375956767524591,-1,-1,0
EURJPY,20010104,15000,105.93,105.93,105.92,105.92,4,105.9667301848947,105.94891475926877,-0.017815425625926196,-0.015063850539204914,-1,-1,0
EURJPY,20010104,15100,105.92,105.92,105.89,105.89,4,105.9610464674951,105.9398509501505,-0.02119551734459435,-0.0162901839002828,-1,-1,0
EURJPY,20010104,15200,105.88,105.88,105.81,105.82,4,105.95059858101398,105.92141234243503,-0.029186238578944312,-0.018869394836015102,-1,-1,0
EURJPY,20010104,15300,105.83,105.85,105.83,105.85,4,105.9431468342722,105.91042582821427,-0.03272100605792616,-0.021639717080397313,-1,-1,0
EURJPY,20010104,15400,105.85,105.85,105.85,105.85,4,105.93624706877056,105.90112954695053,-0.03511752182002681,-0.024335278028323214,-1,-1,0
EURJPY,20010104,15500,105.86,105.86,105.86,105.86,4,105.93059913775052,105.89480192434276,-0.03579721340776132,-0.026627665104210836,-1,-1,0
EURJPY,20010104,15600,105.86,105.86,105.86,105.86,4,105.92536957199123,105.88944778213619,-0.035921789855038355,-0.028486490054376343,-1,-1,0
EURJPY,20010104,15700,105.87,105.88,105.86,105.87,4,105.9212681222141,105.8864558156537,-0.03481230656039713,-0.029751653355580505,-1,-1,0
EURJPY,20010104,15800,105.87,105.88,105.87,105.88,4,105.91821122427231,105.88546261324544,-0.032748611026875096,-0.030351044889839425,-1,-1,0
EURJPY,20010104,15900,105.88,105.88,105.83,105.83,4,105.9116770595114,105.87692990351536,-0.034747155996043944,-0.03123026711108033,-1,-1,0
EURJPY,20010104,20000,105.84,105.84,105.83,105.83,4,105.905626906955,105.86970991835915,-0.0359169885958579,-0.03216761140803585,-1,-1,0
EURJPY,20010104,20100,105.83,105.83,105.82,105.82,4,105.89928417310648,105.86206223861159,-0.037221934494894526,-0.033178476025407584,-1,-1,0
EURJPY,20010104,20200,105.83,105.83,105.79,105.79,4,105.89118904917267,105.85097574036365,-0.0402133088090153,-0.03458544258212913,-1,-1,0
EURJPY,20010104,20300,105.79,105.79,105.79,105.79,4,105.88369356404877,105.84159485723077,-0.042098706817995435,-0.03608809542930239,-1,-1,0
EURJPY,20010104,20400,105.79,105.79,105.78,105.78,4,105.87601255930441,105.83211872534912,-0.04389383395529478,-0.037649243134500875,-1,-1,0
EURJPY,20010104,20500,105.78,105.79,105.78,105.79,4,105.8696412586152,105.82563892144927,-0.044002337165935046,-0.03891986194078771,-1,-1,0
EURJPY,20010104,20600,105.8,105.8,105.8,105.8,4,105.86448264686592,105.82169447199553,-0.042788174870395324,-0.03969352452670924,-1,-1,0
EURJPY,20010104,20700,105.8,105.81,105.8,105.81,4,105.86044689524623,105.81989532245775,-0.04055157278847332,-0.03986513417906205,-1,-1,0
EURJPY,20010104,20800,105.82,105.82,105.81,105.81,4,105.85671008819095,105.81837296515657,-0.03833712303438119,-0.03955953195012589,1,-1,1
EURJPY,20010104,20900,105.81,105.81,105.81,105.81,4,105.85325008165829,105.81708481667094,-0.03616526498734629,-0.03888067855756997,1,-1,0
EURJPY,20010104,21000,105.8,105.8,105.79,105.79,4,105.84856489042434,105.81291792179849,-0.035646968625854925,-0.038233936571226965,1,-1,0
EURJPY,20010104,21100,105.79,105.8,105.79,105.79,4,105.8442267503929,105.80939208767563,-0.03483466271727309,-0.03755408180043619,1,-1,0
EURJPY,20010104,21200,105.79,105.79,105.79,105.79,4,105.8402099540675,105.8064086895717,-0.033801264495807004,-0.03680351833951036,1,-1,0
EURJPY,20010104,21300,105.8,105.8,105.79,105.79,4,105.83649069821065,105.80388427579143,-0.03260642241922085,-0.035964099155452456,1,-1,0
EURJPY,20010104,21400,105.79,105.8,105.79,105.8,4,105.83378768352839,105.80328669490044,-0.030500988627949255,-0.03487147704995182,1,-1,0
EURJPY,20010104,21500,105.79,105.79,105.78,105.78,4,105.82980341067443,105.79970412645422,-0.030099284220213463,-0.033917038484004146,1,-1,0
EURJPY,20010104,21600,105.78,105.78,105.78,105.78,4,105.82611426914299,105.79667272238433,-0.02944154675866173,-0.03302194013893567,1,-1,0
EURJPY,20010104,21700,105.79,105.79,105.79,105.79,4,105.82343913809537,105.79564614970982,-0.027792988385542117,-0.031976149788256955,1,-1,0
EURJPY,20010104,21800,105.79,105.79,105.79,105.79,4,105.82096216490312,105.79477751129292,-0.02618465361020128,-0.03081785055264582,1,-1,0
EURJPY,20010104,21900,105.79,105.79,105.79,105.79,4,105.8186686712066,105.79404250955554,-0.024626161651056577,-0.02957951277232797,1,-1,0
EURJPY,20010104,22000,105.8,105.85,105.8,105.84,4,105.82024876963574,105.80111289270083,-0.01913587693491081,-0.027490785604844543,1,-1,0
EURJPY,20010104,22100,105.84,105.84,105.83,105.83,4,105.82097108299607,105.80555706305455,-0.015414019941516699,-0.025075432472178975,1,-1,0
EURJPY,20010104,22200,105.83,105.83,105.83,105.83,4,105.82163989166303,105.80931751489231,-0.012322376770711685,-0.02252482133188552,1,-1,0
