<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,%K,%D,Signal SO
EURJPY,20010104,25000,105.85,105.85,105.85,105.85,4,100.0,83.33333333333333,0.0
EURJPY,20010104,25100,105.85,105.85,105.84,105.84,4,83.33333333334518,94.4444444444484,-1.0
EURJPY,20010104,25200,105.84,105.85,105.84,105.85,4,100.0,94.4444444444484,0.0
EURJPY,20010104,25300,105.85,105.85,105.85,105.85,4,100.0,94.4444444444484,0.0
EURJPY,20010104,25400,105.84,105.84,105.83,105.83,4,66.66666666666667,88.8888888888889,-1.0
EURJPY,20010104,25500,105.83,105.83,105.83,105.83,4,66.66666666666667,77.77777777777779,0.0
EURJPY,20010104,25600,105.82,105.82,105.81,105.81,4,33.333333333333336,55.555555555555564,0.0
EURJPY,20010104,25700,105.8,105.8,105.79,105.79,4,0.0,33.333333333333336,0.0
EURJPY,20010104,25800,105.79,105.8,105.78,105.79,4,14.285714285722987,15.873015873018774,0.0
EURJPY,20010104,25900,105.78,105.78,105.77,105.78,4,12.500000000006661,8.928571428576548,1.0
EURJPY,20010104,30000,105.78,105.78,105.78,105.78,4,12.500000000006661,13.095238095245435,0.0
EURJPY,20010104,30100,105.78,105.78,105.78,105.78,4,12.500000000006661,12.50000000000666,1.0
EURJPY,20010104,30200,105.79,105.79,105.79,105.79,4,25.000000000013323,16.66666666667555,0.0
EURJPY,20010104,30300,105.79,105.79,105.79,105.79,4,25.000000000013323,20.833333333344434,0.0
EURJPY,20010104,30400,105.79,105.79,105.79,105.79,4,25.000000000013323,25.00000000001332,0.0
EURJPY,20010104,30500,105.79,105.79,105.78,105.78,4,12.500000000006661,20.833333333344438,0.0
EURJPY,20010104,30600,105.78,105.78,105.78,105.78,4,12.500000000006661,16.66666666667555,0.0
EURJPY,20010104,30700,105.78,105.78,105.78,105.78,4,14.285714285720086,13.095238095244468,1.0
EURJPY,20010104,30800,105.78,105.78,105.74,105.74,4,0.0,8.928571428575582,0.0
EURJPY,20010104,30900,105.73,105.74,105.73,105.73,4,0.0,4.761904761906695,0.0
EURJPY,20010104,31000,105.73,105.73,105.73,105.73,4,0.0,0.0,0.0
EURJPY,20010104,31100,105.74,105.74,105.74,105.74,4,14.285714285702685,4.761904761900895,1.0
EURJPY,20010104,31200,105.74,105.75,105.74,105.75,4,33.33333333332544,15.873015873009374,0.0
EURJPY,20010104,31300,105.76,105.77,105.76,105.77,4,66.66666666665088,38.095238095226335,0.0
EURJPY,20010104,31400,105.77,105.77,105.77,105.77,4,66.66666666665088,55.555555555542405,0.0
EURJPY,20010104,31500,105.76,105.76,105.76,105.76,4,50.0,61.11111111110059,0.0
EURJPY,20010104,31600,105.76,105.78,105.76,105.78,4,83.33333333332544,66.66666666665877,0.0
EURJPY,20010104,31700,105.78,105.79,105.78,105.79,4,100.0,77.77777777777514,0.0
EURJPY,20010104,31800,105.79,105.79,105.79,105.79,4,100.0,94.4444444444418,0.0
